Serial number;Datum UTC;Datum local time;Value;Unit;Type
VME London Tower Energy;30/11/2023 23:00;01/12/2023 00:00;34859,38;kWh;electricity
VME London Tower Energy;01/12/2023 00:00;01/12/2023 01:00;34871,37;kWh;electricity
VME London Tower Energy;01/12/2023 01:00;01/12/2023 02:00;34884,9;kWh;electricity
VME London Tower Energy;01/12/2023 02:00;01/12/2023 03:00;34898,04;kWh;electricity
VME London Tower Energy;01/12/2023 03:00;01/12/2023 04:00;34910,69;kWh;electricity
VME London Tower Energy;01/12/2023 04:00;01/12/2023 05:00;34923,76;kWh;electricity
VME London Tower Energy;01/12/2023 05:00;01/12/2023 06:00;34936,38;kWh;electricity
VME London Tower Energy;01/12/2023 06:00;01/12/2023 07:00;34951,26;kWh;electricity
VME London Tower Energy;01/12/2023 07:00;01/12/2023 08:00;34965,76;kWh;electricity
VME London Tower Energy;01/12/2023 08:00;01/12/2023 09:00;34994,8;kWh;electricity
VME London Tower Energy;01/12/2023 09:00;01/12/2023 10:00;35027,03;kWh;electricity
VME London Tower Energy;01/12/2023 10:00;01/12/2023 11:00;35059,18;kWh;electricity
VME London Tower Energy;01/12/2023 11:00;01/12/2023 12:00;35076,18;kWh;electricity
VME London Tower Energy;01/12/2023 12:00;01/12/2023 13:00;35092,62;kWh;electricity
VME London Tower Energy;01/12/2023 13:00;01/12/2023 14:00;35106,87;kWh;electricity
VME London Tower Energy;01/12/2023 14:00;01/12/2023 15:00;35121,69;kWh;electricity
VME London Tower Energy;01/12/2023 15:00;01/12/2023 16:00;35135,24;kWh;electricity
VME London Tower Energy;01/12/2023 16:00;01/12/2023 17:00;35150,72;kWh;electricity
VME London Tower Energy;01/12/2023 17:00;01/12/2023 18:00;35175,59;kWh;electricity
VME London Tower Energy;01/12/2023 18:00;01/12/2023 19:00;35208,34;kWh;electricity
VME London Tower Energy;01/12/2023 19:00;01/12/2023 20:00;35235,41;kWh;electricity
VME London Tower Energy;01/12/2023 20:00;01/12/2023 21:00;35257,32;kWh;electricity
VME London Tower Energy;01/12/2023 21:00;01/12/2023 22:00;35272,0;kWh;electricity
VME London Tower Energy;01/12/2023 22:00;01/12/2023 23:00;35285,01;kWh;electricity
VME London Tower Energy;01/12/2023 23:00;02/12/2023 00:00;35298,67;kWh;electricity
VME London Tower Energy;02/12/2023 00:00;02/12/2023 01:00;35311,23;kWh;electricity
VME London Tower Energy;02/12/2023 01:00;02/12/2023 02:00;35324,26;kWh;electricity
VME London Tower Energy;02/12/2023 02:00;02/12/2023 03:00;35336,59;kWh;electricity
VME London Tower Energy;02/12/2023 03:00;02/12/2023 04:00;35348,6;kWh;electricity
VME London Tower Energy;02/12/2023 04:00;02/12/2023 05:00;35360,65;kWh;electricity
VME London Tower Energy;02/12/2023 05:00;02/12/2023 06:00;35372,79;kWh;electricity
VME London Tower Energy;02/12/2023 06:00;02/12/2023 07:00;35386,05;kWh;electricity
VME London Tower Energy;02/12/2023 07:00;02/12/2023 08:00;35398,81;kWh;electricity
VME London Tower Energy;02/12/2023 08:00;02/12/2023 09:00;35411,15;kWh;electricity
