Created;Puls In A (vertrek SWW Hotel),  HT SWW, m3;Puls In B (retour SWW Hotel),  HT SWW, m3;
2023-10-13 00:00:00;34983,460;30381,330;
2023-10-13 01:00:00;34985,130;30382,890;
2023-10-13 02:00:00;34986,700;30384,470;
2023-10-13 03:00:00;34988,270;30386,040;
2023-10-13 04:00:00;34989,850;30387,630;
2023-10-13 05:00:00;34991,430;30389,220;
2023-10-13 06:00:00;34992,990;30390,780;
2023-10-13 07:00:00;34994,810;30392,260;
2023-10-13 08:00:00;34996,860;30393,710;
2023-10-13 09:00:00;34998,600;30395,230;
2023-10-13 10:00:00;35000,240;30396,800;
2023-10-13 11:00:00;35001,830;30398,380;
2023-10-13 12:00:00;35003,560;30400,050;
2023-10-13 13:00:00;35005,980;30402,490;
2023-10-13 14:00:00;35008,380;30404,940;
2023-10-13 15:00:00;35010,820;30407,390;
2023-10-13 16:00:00;35013,250;30409,870;
2023-10-13 17:00:00;35014,860;30411,440;
2023-10-13 18:00:00;35016,460;30412,990;
2023-10-13 19:00:00;35018,040;30414,540;
2023-10-13 20:00:00;35019,700;30416,070;
2023-10-13 21:00:00;35021,310;30417,620;
2023-10-13 22:00:00;35022,940;30419,190;
2023-10-13 23:00:00;35024,520;30420,740;
2023-10-14 00:00:00;35026,160;30422,270;
2023-10-14 01:00:00;35027,720;30423,820;
2023-10-14 02:00:00;35029,300;30425,400;
2023-10-14 03:00:00;35030,870;30426,980;
2023-10-14 04:00:00;35032,460;30428,570;
2023-10-14 05:00:00;35034,010;30430,140;
2023-10-14 06:00:00;35035,560;30431,690;
2023-10-14 07:00:00;35037,110;30433,260;
2023-10-14 08:00:00;35038,720;30434,830;
2023-10-14 09:00:00;35040,400;30436,390;
2023-10-14 10:00:00;35041,980;30437,970;
2023-10-14 11:00:00;35043,560;30439,540;
2023-10-14 12:00:00;35045,170;30441,120;
2023-10-14 13:00:00;35046,750;30442,700;
2023-10-14 14:00:00;35048,340;30444,290;
2023-10-14 15:00:00;35049,940;30445,870;
2023-10-14 16:00:00;35051,520;30447,460;
2023-10-14 17:00:00;35053,200;30449,040;
2023-10-14 18:00:00;35054,850;30450,600;
2023-10-14 19:00:00;35056,480;30452,170;
2023-10-14 20:00:00;35058,100;30453,740;
2023-10-14 21:00:00;35059,760;30455,300;
2023-10-14 22:00:00;35061,380;30456,840;
2023-10-14 23:00:00;35062,990;30458,380;
2023-10-15 00:00:00;35065,430;30460,730;
2023-10-15 01:00:00;35067,800;30463,140;
2023-10-15 02:00:00;35070,180;30465,570;
2023-10-15 03:00:00;35072,580;30468,020;
2023-10-15 04:00:00;35074,970;30470,460;
2023-10-15 05:00:00;35077,360;30472,910;
2023-10-15 06:00:00;35079,760;30475,370;
2023-10-15 07:00:00;35081,360;30476,960;
2023-10-15 08:00:00;35083,070;30478,500;
2023-10-15 09:00:00;35084,740;30480,040;
2023-10-15 10:00:00;35086,340;30481,600;
2023-10-15 11:00:00;35087,900;30483,170;
2023-10-15 12:00:00;35089,490;30484,720;
2023-10-15 13:00:00;35091,080;30486,300;
2023-10-15 14:00:00;35092,680;30487,840;
2023-10-15 15:00:00;35094,260;30489,390;
2023-10-15 16:00:00;35095,840;30490,940;
2023-10-15 17:00:00;35097,560;30492,460;
2023-10-15 18:00:00;35099,260;30493,970;
2023-10-15 19:00:00;35100,850;30495,510;
2023-10-15 20:00:00;35102,440;30497,020;
2023-10-15 21:00:00;35104,100;30498,510;
2023-10-15 22:00:00;35105,730;30500,010;
2023-10-15 23:00:00;35107,230;30501,520;
2023-10-16 00:00:00;35108,760;30503,070;
2023-10-16 01:00:00;35110,300;30504,610;
2023-10-16 02:00:00;35111,820;30506,150;
2023-10-16 03:00:00;35113,350;30507,690;
2023-10-16 04:00:00;35114,880;30509,230;
2023-10-16 05:00:00;35116,420;30510,780;
2023-10-16 06:00:00;35117,960;30512,330;
2023-10-16 07:00:00;35119,560;30513,860;
2023-10-16 08:00:00;35121,140;30515,390;
2023-10-16 09:00:00;35122,720;30516,900;
2023-10-16 10:00:00;35124,200;30518,360;
2023-10-16 11:00:00;35125,620;30519,780;
2023-10-16 12:00:00;35127,160;30521,320;
2023-10-16 13:00:00;35128,720;30522,870;
2023-10-16 14:00:00;35130,290;30524,420;
2023-10-16 15:00:00;35131,850;30525,990;
2023-10-16 16:00:00;35133,420;30527,560;
2023-10-16 17:00:00;35135,030;30529,130;
2023-10-16 18:00:00;35136,810;30530,660;
2023-10-16 19:00:00;35138,450;30532,210;
2023-10-16 20:00:00;35140,200;30533,750;
2023-10-16 21:00:00;35141,840;30535,300;
2023-10-16 22:00:00;35143,490;30536,840;
2023-10-16 23:00:00;35145,150;30538,380;
2023-10-17 00:00:00;35146,720;30539,940;
2023-10-17 01:00:00;35148,260;30541,490;
2023-10-17 02:00:00;35149,840;30543,060;
2023-10-17 03:00:00;35151,410;30544,630;
2023-10-17 04:00:00;35152,960;30546,200;
2023-10-17 05:00:00;35154,530;30547,770;
