Created;Puls In A (vertrek SWW Hotel),  HT SWW, m3;Puls In B (retour SWW Hotel),  HT SWW, m3;
2023-08-13 00:00:00;32669,010;28210,960;
2023-08-13 01:00:00;32670,650;28212,360;
2023-08-13 02:00:00;32672,160;28213,790;
2023-08-13 03:00:00;32673,720;28215,190;
2023-08-13 04:00:00;32675,240;28216,620;
2023-08-13 05:00:00;32676,710;28218,070;
2023-08-13 06:00:00;32678,170;28219,500;
2023-08-13 07:00:00;32679,800;28220,890;
2023-08-13 08:00:00;32681,520;28222,270;
2023-08-13 09:00:00;32683,180;28223,680;
2023-08-13 10:00:00;32684,880;28225,060;
2023-08-13 11:00:00;32686,570;28226,470;
2023-08-13 12:00:00;32688,200;28227,870;
2023-08-13 13:00:00;32689,730;28229,280;
2023-08-13 14:00:00;32691,280;28230,700;
2023-08-13 15:00:00;32692,740;28232,130;
2023-08-13 16:00:00;32694,230;28233,560;
2023-08-13 17:00:00;32695,780;28234,980;
2023-08-13 18:00:00;32697,390;28236,390;
2023-08-13 19:00:00;32698,900;28237,810;
2023-08-13 20:00:00;32700,440;28239,220;
2023-08-13 21:00:00;32701,930;28240,650;
2023-08-13 22:00:00;32703,420;28242,080;
2023-08-13 23:00:00;32704,920;28243,510;
2023-08-14 00:00:00;32706,430;28244,960;
2023-08-14 01:00:00;32707,880;28246,400;
2023-08-14 02:00:00;32709,390;28247,830;
2023-08-14 03:00:00;32710,950;28249,240;
2023-08-14 04:00:00;32712,430;28250,680;
2023-08-14 05:00:00;32713,860;28252,110;
2023-08-14 06:00:00;32715,350;28253,510;
2023-08-14 07:00:00;32716,790;28254,960;
2023-08-14 08:00:00;32718,330;28256,380;
2023-08-14 09:00:00;32719,860;28257,790;
2023-08-14 10:00:00;32721,570;28259,180;
2023-08-14 11:00:00;32723,140;28260,590;
2023-08-14 12:00:00;32724,730;28262,000;
2023-08-14 13:00:00;32726,190;28263,440;
2023-08-14 14:00:00;32727,650;28264,880;
2023-08-14 15:00:00;32729,120;28266,310;
2023-08-14 16:00:00;32730,570;28267,740;
2023-08-14 17:00:00;32732,160;28269,140;
2023-08-14 18:00:00;32733,700;28270,560;
2023-08-14 19:00:00;32735,280;28271,980;
2023-08-14 20:00:00;32736,750;28273,410;
2023-08-14 21:00:00;32738,240;28274,840;
2023-08-14 22:00:00;32739,740;28276,260;
2023-08-14 23:00:00;32741,330;28277,660;
2023-08-15 00:00:00;32742,920;28279,080;
2023-08-15 01:00:00;32744,380;28280,510;
2023-08-15 02:00:00;32745,790;28281,940;
2023-08-15 03:00:00;32747,210;28283,370;
2023-08-15 04:00:00;32748,650;28284,820;
2023-08-15 05:00:00;32750,090;28286,270;
2023-08-15 06:00:00;32751,510;28287,710;
2023-08-15 07:00:00;32752,980;28289,140;
2023-08-15 08:00:00;32754,530;28290,550;
2023-08-15 09:00:00;32756,010;28291,980;
2023-08-15 10:00:00;32757,480;28293,400;
2023-08-15 11:00:00;32759,050;28294,830;
2023-08-15 12:00:00;32760,510;28296,270;
2023-08-15 13:00:00;32761,950;28297,700;
2023-08-15 14:00:00;32763,400;28299,130;
2023-08-15 15:00:00;32764,860;28300,560;
2023-08-15 16:00:00;32766,320;28301,990;
2023-08-15 17:00:00;32767,790;28303,430;
2023-08-15 18:00:00;32769,310;28304,840;
2023-08-15 19:00:00;32770,850;28306,270;
2023-08-15 20:00:00;32772,390;28307,680;
2023-08-15 21:00:00;32773,970;28309,100;
2023-08-15 22:00:00;32775,530;28310,530;
2023-08-15 23:00:00;32777,080;28311,950;
2023-08-16 00:00:00;32778,540;28313,390;
2023-08-16 01:00:00;32779,980;28314,840;
2023-08-16 02:00:00;32781,410;28316,280;
2023-08-16 03:00:00;32782,850;28317,730;
2023-08-16 04:00:00;32784,280;28319,170;
2023-08-16 05:00:00;32785,700;28320,590;
2023-08-16 06:00:00;32787,120;28322,000;
2023-08-16 07:00:00;32788,650;28323,430;
2023-08-16 08:00:00;32790,140;28324,860;
2023-08-16 09:00:00;32791,690;28326,270;
2023-08-16 10:00:00;32793,230;28327,690;
2023-08-16 11:00:00;32794,680;28329,130;
2023-08-16 12:00:00;32796,130;28330,580;
2023-08-16 13:00:00;32797,670;28332,010;
2023-08-16 14:00:00;32799,110;28333,450;
2023-08-16 15:00:00;32800,580;28334,880;
2023-08-16 16:00:00;32802,060;28336,320;
2023-08-16 17:00:00;32803,630;28337,740;
2023-08-16 18:00:00;32805,170;28339,140;
2023-08-16 19:00:00;32806,690;28340,570;
2023-08-16 20:00:00;32808,200;28341,990;
2023-08-16 21:00:00;32809,680;28343,420;
2023-08-16 22:00:00;32811,190;28344,830;
2023-08-16 23:00:00;32812,820;28346,220;
2023-08-17 00:00:00;32814,290;28347,670;
2023-08-17 01:00:00;32815,720;28349,100;
2023-08-17 02:00:00;32817,160;28350,540;
2023-08-17 03:00:00;32818,600;28351,970;
2023-08-17 04:00:00;32820,030;28353,420;
2023-08-17 05:00:00;32821,460;28354,860;
2023-08-17 06:00:00;32822,910;28356,310;
2023-08-17 07:00:00;32824,530;28357,700;
2023-08-17 08:00:00;32826,060;28359,130;
2023-08-17 09:00:00;32827,610;28360,560;
2023-08-17 10:00:00;32829,080;28362,000;
2023-08-17 11:00:00;32830,560;28363,430;
2023-08-17 12:00:00;32832,000;28364,870;
2023-08-17 13:00:00;32833,460;28366,310;
2023-08-17 14:00:00;32834,950;28367,730;
2023-08-17 15:00:00;32836,490;28369,160;
2023-08-17 16:00:00;32838,070;28370,590;
2023-08-17 17:00:00;32839,560;28372,020;
2023-08-17 18:00:00;32841,070;28373,450;
2023-08-17 19:00:00;32842,680;28374,850;
2023-08-17 20:00:00;32844,170;28376,280;
2023-08-17 21:00:00;32845,640;28377,720;
2023-08-17 22:00:00;32847,110;28379,160;
2023-08-17 23:00:00;32848,610;28380,590;
2023-08-18 00:00:00;32850,110;28382,010;
2023-08-18 01:00:00;32851,570;28383,440;
2023-08-18 02:00:00;32853,000;28384,880;
2023-08-18 03:00:00;32854,430;28386,320;
2023-08-18 04:00:00;32855,850;28387,750;
2023-08-18 05:00:00;32857,280;28389,190;
2023-08-18 06:00:00;32858,690;28390,620;
2023-08-18 07:00:00;32860,290;28392,000;
2023-08-18 08:00:00;32862,030;28393,390;
2023-08-18 09:00:00;32863,600;28394,800;
2023-08-18 10:00:00;32865,160;28396,220;
2023-08-18 11:00:00;32866,600;28397,680;
2023-08-18 12:00:00;32868,040;28399,120;
2023-08-18 13:00:00;32869,470;28400,560;
2023-08-18 14:00:00;32870,890;28402,000;
2023-08-18 15:00:00;32872,340;28403,440;
2023-08-18 16:00:00;32873,770;28404,880;
2023-08-18 17:00:00;32875,220;28406,310;
2023-08-18 18:00:00;32876,710;28407,730;
2023-08-18 19:00:00;32878,200;28409,160;
2023-08-18 20:00:00;32879,690;28410,570;
2023-08-18 21:00:00;32881,190;28411,990;
2023-08-18 22:00:00;32882,660;28413,420;
2023-08-18 23:00:00;32884,140;28414,830;
2023-08-19 00:00:00;32885,610;28416,250;
2023-08-19 01:00:00;32887,070;28417,650;
2023-08-19 02:00:00;32888,500;28419,060;
2023-08-19 03:00:00;32889,910;28420,490;
2023-08-19 04:00:00;32891,370;28421,910;
2023-08-19 05:00:00;32892,850;28423,330;
2023-08-19 06:00:00;32894,250;28424,750;
2023-08-19 07:00:00;32895,780;28426,140;
2023-08-19 08:00:00;32897,290;28427,540;
2023-08-19 09:00:00;32898,770;28428,950;
2023-08-19 10:00:00;32900,200;28430,380;
2023-08-19 11:00:00;32901,620;28431,800;
