Created;Puls In A (vertrek SWW Hotel),  HT SWW, m3;Puls In B (retour SWW Hotel),  HT SWW, m3;
2023-08-13 00:00:00;32669,010;28210,960;
2023-08-14 00:00:00;32706,430;28244,960;
2023-08-15 00:00:00;32742,920;28279,080;
2023-08-16 00:00:00;32778,540;28313,390;
2023-08-17 00:00:00;32814,290;28347,670;
2023-08-18 00:00:00;32850,110;28382,010;
2023-08-19 00:00:00;32885,610;28416,250;
2023-08-20 00:00:00;32920,690;28450,130;
2023-08-21 00:00:00;32955,980;28484,030;
2023-08-22 00:00:00;32991,180;28517,830;
2023-08-23 00:00:00;33026,800;28550,640;
2023-08-24 00:00:00;33061,690;28582,690;
2023-08-25 00:00:00;33095,730;28614,540;
2023-08-26 00:00:00;33128,830;28646,170;
2023-08-27 00:00:00;33163,020;28677,930;
2023-08-28 00:00:00;33197,980;28709,850;
2023-08-29 00:00:00;33231,780;28742,140;
2023-08-30 00:00:00;33267,010;28774,430;
2023-08-31 00:00:00;33290,960;28795,650;
2023-09-01 00:00:00;33292,160;28796,000;
2023-09-02 00:00:00;33320,100;28823,400;
2023-09-03 00:00:00;33358,760;28860,200;
2023-09-04 00:00:00;33401,360;28900,890;
2023-09-05 00:00:00;33439,780;28937,760;
2023-09-06 00:00:00;33478,490;28973,660;
2023-09-07 00:00:00;33517,310;29009,260;
2023-09-08 00:00:00;33556,210;29045,050;
2023-09-09 00:00:00;33595,360;29080,870;
2023-09-10 00:00:00;33634,600;29116,470;
2023-09-11 00:00:00;33675,710;29155,980;
2023-09-12 00:00:00;33713,460;29191,870;
2023-09-13 00:00:00;33752,140;29227,510;
2023-09-14 00:00:00;33790,760;29263,140;
2023-09-15 00:00:00;33830,040;29299,170;
2023-09-16 00:00:00;33873,060;29339,820;
2023-09-17 00:00:00;33912,470;29377,680;
2023-09-18 00:00:00;33956,470;29420,340;
2023-09-19 00:00:00;33995,300;29457,910;
2023-09-20 00:00:00;34035,250;29495,710;
2023-09-21 00:00:00;34075,510;29533,450;
2023-09-22 00:00:00;34115,760;29570,970;
2023-09-23 00:00:00;34159,870;29611,760;
2023-09-24 00:00:00;34202,030;29649,890;
2023-09-25 00:00:00;34247,980;29692,070;
2023-09-26 00:00:00;34288,400;29729,220;
2023-09-27 00:00:00;34328,410;29766,520;
2023-09-28 00:00:00;34369,000;29803,600;
2023-09-29 00:00:00;34408,680;29840,740;
2023-09-30 00:00:00;34451,510;29881,540;
2023-10-01 00:00:00;34491,880;29920,140;
2023-10-02 00:00:00;34536,480;29962,900;
2023-10-03 00:00:00;34575,750;30000,650;
2023-10-04 00:00:00;34615,200;30038,140;
2023-10-05 00:00:00;34654,770;30075,180;
2023-10-06 00:00:00;34694,750;30111,840;
2023-10-07 00:00:00;34737,510;30152,420;
2023-10-08 00:00:00;34778,880;30190,250;
2023-10-09 00:00:00;34824,670;30232,530;
2023-10-10 00:00:00;34863,840;30269,830;
2023-10-11 00:00:00;34903,590;30307,050;
2023-10-12 00:00:00;34943,680;30344,190;
2023-10-13 00:00:00;34983,460;30381,330;
2023-10-14 00:00:00;35026,160;30422,270;
2023-10-15 00:00:00;35065,430;30460,730;
2023-10-16 00:00:00;35108,760;30503,070;
2023-10-17 00:00:00;35146,720;30539,940;
2023-10-18 00:00:00;35186,630;30577,060;
2023-10-19 00:00:00;35226,850;30613,940;
2023-10-20 00:00:00;35267,000;30651,070;
2023-10-21 00:00:00;35310,920;30691,940;
2023-10-22 00:00:00;35352,180;30729,720;
2023-10-23 00:00:00;35397,910;30772,320;
2023-10-24 00:00:00;35437,560;30809,590;
2023-10-25 00:00:00;35478,340;30846,610;
2023-10-26 00:00:00;N/A;N/A;
2023-10-27 00:00:00;35560,430;30921,030;
2023-10-28 00:00:00;35604,680;30961,840;
2023-10-29 00:00:00;35643,830;31000,120;
2023-10-30 00:00:00;35688,360;31043,900;
2023-10-31 00:00:00;35726,270;31081,300;
2023-11-01 00:00:00;35764,430;31118,620;
2023-11-02 00:00:00;35802,690;31155,880;
2023-11-03 00:00:00;35841,120;31193,000;
2023-11-04 00:00:00;35883,440;31233,970;
2023-11-05 00:00:00;35922,180;31271,170;
2023-11-06 00:00:00;35966,530;31314,770;
2023-11-07 00:00:00;36005,560;31351,830;
2023-11-08 00:00:00;36045,090;31388,660;
2023-11-09 00:00:00;36085,590;31425,280;
2023-11-10 00:00:00;36125,930;31461,980;
2023-11-11 00:00:00;36169,030;31502,600;
2023-11-12 00:00:00;36209,240;31539,310;
2023-11-13 00:00:00;36255,240;31582,270;
