Created;Puls In A (vertrek SWW Hotel),  HT SWW, m3;Puls In B (retour SWW Hotel),  HT SWW, m3;
2023-11-07 00:00:00;36005,560;31351,830;
2023-11-07 01:00:00;36007,150;31353,390;
2023-11-07 02:00:00;36008,700;31354,950;
2023-11-07 03:00:00;36010,280;31356,540;
2023-11-07 04:00:00;36011,820;31358,090;
2023-11-07 05:00:00;36013,380;31359,660;
2023-11-07 06:00:00;36014,910;31361,200;
2023-11-07 07:00:00;36016,490;31362,780;
2023-11-07 08:00:00;36018,350;31364,250;
2023-11-07 09:00:00;36020,440;31365,660;
2023-11-07 10:00:00;36022,080;31367,200;
2023-11-07 11:00:00;36023,670;31368,770;
2023-11-07 12:00:00;36025,230;31370,330;
2023-11-07 13:00:00;36026,790;31371,890;
2023-11-07 14:00:00;36028,370;31373,470;
2023-11-07 15:00:00;36029,920;31375,010;
2023-11-07 16:00:00;36031,520;31376,540;
2023-11-07 17:00:00;36033,080;31378,090;
2023-11-07 18:00:00;36034,740;31379,650;
2023-11-07 19:00:00;36036,360;31381,180;
2023-11-07 20:00:00;36038,120;31382,670;
2023-11-07 21:00:00;36039,900;31384,160;
2023-11-07 22:00:00;36041,600;31385,680;
2023-11-07 23:00:00;36043,470;31387,140;
2023-11-08 00:00:00;36045,090;31388,660;
2023-11-08 01:00:00;36046,820;31390,190;
2023-11-08 02:00:00;36048,430;31391,720;
2023-11-08 03:00:00;36049,980;31393,270;
2023-11-08 04:00:00;36051,570;31394,860;
2023-11-08 05:00:00;36053,120;31396,430;
2023-11-08 06:00:00;36054,680;31398,000;
2023-11-08 07:00:00;36056,250;31399,550;
2023-11-08 08:00:00;36058,360;31400,980;
2023-11-08 09:00:00;36060,590;31402,370;
2023-11-08 10:00:00;36062,210;31403,890;
2023-11-08 11:00:00;36063,810;31405,440;
2023-11-08 12:00:00;36065,380;31407,000;
2023-11-08 13:00:00;36066,960;31408,580;
2023-11-08 14:00:00;36068,510;31410,140;
2023-11-08 15:00:00;36070,090;31411,700;
2023-11-08 16:00:00;36071,660;31413,270;
2023-11-08 17:00:00;36073,230;31414,810;
2023-11-08 18:00:00;36074,900;31416,360;
2023-11-08 19:00:00;36076,760;31417,830;
2023-11-08 20:00:00;36078,510;31419,310;
2023-11-08 21:00:00;36080,270;31420,820;
2023-11-08 22:00:00;36082,090;31422,290;
2023-11-08 23:00:00;36083,770;31423,800;
2023-11-09 00:00:00;36085,590;31425,280;
2023-11-09 01:00:00;36087,330;31426,790;
2023-11-09 02:00:00;36089,000;31428,350;
2023-11-09 03:00:00;36090,540;31429,900;
2023-11-09 04:00:00;36092,120;31431,480;
2023-11-09 05:00:00;36093,670;31433,030;
2023-11-09 06:00:00;36095,230;31434,590;
2023-11-09 07:00:00;36096,900;31436,120;
2023-11-09 08:00:00;36098,820;31437,600;
2023-11-09 09:00:00;36101,060;31438,990;
2023-11-09 10:00:00;36102,920;31440,480;
2023-11-09 11:00:00;36104,500;31442,050;
2023-11-09 12:00:00;36106,080;31443,600;
2023-11-09 13:00:00;36107,710;31445,150;
2023-11-09 14:00:00;36109,270;31446,700;
2023-11-09 15:00:00;36110,830;31448,260;
2023-11-09 16:00:00;36112,420;31449,810;
2023-11-09 17:00:00;36114,030;31451,360;
2023-11-09 18:00:00;36115,640;31452,930;
2023-11-09 19:00:00;36117,320;31454,460;
2023-11-09 20:00:00;36119,150;31455,960;
2023-11-09 21:00:00;36120,880;31457,450;
2023-11-09 22:00:00;36122,640;31458,930;
2023-11-09 23:00:00;36124,270;31460,480;
2023-11-10 00:00:00;36125,930;31461,980;
2023-11-10 01:00:00;36127,570;31463,530;
2023-11-10 02:00:00;36129,200;31465,060;
2023-11-10 03:00:00;36130,790;31466,620;
2023-11-10 04:00:00;36132,340;31468,170;
2023-11-10 05:00:00;36133,910;31469,740;
2023-11-10 06:00:00;36135,470;31471,300;
2023-11-10 07:00:00;36137,120;31472,860;
2023-11-10 08:00:00;36138,930;31474,340;
2023-11-10 09:00:00;36140,820;31475,810;
2023-11-10 10:00:00;36142,550;31477,310;
2023-11-10 11:00:00;36144,110;31478,850;
2023-11-10 12:00:00;36145,820;31480,380;
2023-11-10 13:00:00;36147,520;31482,050;
2023-11-10 14:00:00;36149,920;31484,480;
2023-11-10 15:00:00;36152,390;31486,960;
2023-11-10 16:00:00;36154,890;31489,360;
2023-11-10 17:00:00;36157,350;31491,810;
2023-11-10 18:00:00;36158,970;31493,390;
2023-11-10 19:00:00;36160,580;31494,950;
2023-11-10 20:00:00;36162,220;31496,500;
2023-11-10 21:00:00;36163,880;31498,040;
2023-11-10 22:00:00;36165,690;31499,540;
2023-11-10 23:00:00;36167,340;31501,090;
2023-11-11 00:00:00;36169,030;31502,600;
2023-11-11 01:00:00;36170,790;31504,110;
2023-11-11 02:00:00;36172,450;31505,640;
2023-11-11 03:00:00;36174,050;31507,190;
2023-11-11 04:00:00;36175,680;31508,750;
2023-11-11 05:00:00;36177,310;31510,270;
2023-11-11 06:00:00;36178,870;31511,850;
2023-11-11 07:00:00;36180,530;31513,380;
2023-11-11 08:00:00;36182,140;31514,950;
2023-11-11 09:00:00;36184,020;31516,420;
2023-11-11 10:00:00;36186,170;31517,840;
2023-11-11 11:00:00;36187,980;31519,300;
2023-11-11 12:00:00;36189,630;31520,860;
2023-11-11 13:00:00;36191,210;31522,390;
2023-11-11 14:00:00;36192,810;31523,970;
2023-11-11 15:00:00;36194,440;31525,490;
2023-11-11 16:00:00;36196,020;31527,070;
2023-11-11 17:00:00;36197,600;31528,610;
2023-11-11 18:00:00;36199,240;31530,150;
2023-11-11 19:00:00;36200,910;31531,690;
2023-11-11 20:00:00;36202,580;31533,200;
2023-11-11 21:00:00;36204,300;31534,730;
